Author,Comment,LikeCount,PublishedAt
@jordikoalitic,PHOTOS AT HOME 🏡📸 RATE from 1-10 👇🏼<br>.<br>FOLLOW &amp; SHARE to support us 👌🏼,6263,2023-08-09T11:55:08Z
@JiNArena,That one friend with camera skills we all need in our life,56182,2023-08-23T15:47:53Z
@Zeebullet,This is incredible 😮,8892,2023-08-09T11:58:50Z
@KingDom.mp3,"The fact you even showed what settings you used just adds to how impressive it is, love it!",3164,2023-09-08T03:35:51Z
@ItzBunnehC,That one friend that has massive camera skills that everyone needs:,63,2023-12-10T19:47:30Z
@SpiltMyBrain999,I can’t lie it feels good and nostalgic watching people put old songs like this for their shorts. It’s good to here the classics again.,3593,2023-09-03T15:42:14Z
@LOLrpop,THESE ARE WORKS OF ART-,3995,2023-09-05T22:07:05Z
@raptor15757,The second one is absolutely stunning could be an ad for sure,1321,2023-08-27T00:13:17Z
@Temfir_lmao,"When I hear this music I have some kind of soft feeling inside, so soft and calm.",0,2024-08-25T04:03:45Z
@BlandoGaming,Photographers who enjoy what they do are amazing.,879,2023-09-18T15:06:42Z
@YouTube,i am def trying this at home 📸,46,2023-08-27T13:31:24Z
@Fanaticalight,"Something about this short is just heavenly! The compositions, the song, techniques",1579,2023-09-07T12:09:31Z
@MaliyahBrockel-gb2kl,Omg I remember seeing this when I was little and loving this vid 💜💜💜,0,2024-09-09T20:35:22Z
@blackman2227,This song still 🔥🔥🔥🔥 after all these years,314,2023-09-08T02:13:02Z
@wakanda2536,Talk about sheer talent &amp; incredible creativity 📷🔥💯!,153,2023-08-30T17:27:06Z
@RomarioVarkey,This song brings back memories,22,2023-09-20T01:30:26Z
@AmuchaHatake,The one with the phone was soo cool❤❤❤❤,1,2024-09-22T20:33:04Z
@Tianna-v2o,Damn I need tutoring lessons from this guy.😎😎😎,1885,2023-08-12T01:56:03Z
@deeclark9880,You don&#39;t take photos. You transform reality. Love it!,174,2023-09-12T01:10:23Z
@wrayth21,Photographer needs an Oscar fr,1286,2023-09-01T19:33:06Z
@29nss,wow that’s awesome 🤩👏,0,2024-10-29T16:28:48Z
@SamuelFaict.Filmmaker,I really enjoy the dynamism in each frame.,537,2023-08-25T00:50:06Z
@CallMehStar69,my dumbass thought they were tryna sharpen the knife with oranges 💀💀,37,2023-08-28T01:13:10Z
@AlinaKohwalter,The grandpa is so cute ❤😊,0,2024-10-07T15:37:38Z
@Evawennn,Cameraman never disappoint,317,2023-09-04T09:46:56Z
@FlowerChyld43,That is such talent.  I had no idea that&#39;s how those were made.  I love seeing behind the scenes!  : D,623,2023-08-29T23:49:35Z
@martinstads7471,Another level of photography  satisfying a wholesome level 🔥🔥,19,2023-09-12T17:50:19Z
@smu414141,Humans are so cool and creative.,0,2024-10-21T11:51:45Z
@vj3523,THIS IS FREAKING AWESOME MANNN!! WHAT A TALENTED AND SKILLFUL PERSON YOU ARE!!,514,2023-09-07T15:12:57Z
@louskunt2641,This is just like my family smiling in our annual Christmas photo,144,2023-09-03T04:39:01Z
@natapp8733,"EL RESULTADO ES FASCINANTE!!!<br>Y LAS ACCIONES DETRAS, SON TAN CREATIVAS!  FELICIDADES!!!",4,2024-07-05T17:10:23Z
@creative_chaos,I always loved taking splash shot photos when I took photography my sophomore year of highschool,0,2024-12-28T18:44:21Z
@すてい-h1q,完成した写真を見せてくれるの嬉しい,5,2023-08-29T01:57:53Z
@xuesophie842,How to take good photos like in the vid:<br>Step one:<br>have good camera quality <br>Step two:<br>be good at taking photos,12,2023-09-09T01:11:38Z
@thegentlegibbon,"Cool shots looks like the 90s aesthetic, old school",19,2024-09-12T16:22:23Z
@Leximorado,It&#39;s 2024 and I still listen to this song ❤️‍🔥,0,2024-10-21T01:05:04Z
@antoniosoto482,I hadn’t heard that song in years thanks for bringing up the memories,52,2023-09-06T22:33:51Z
@nix0849,アイデアとテクニックの塊だね！ 素晴らしい！,44,2023-09-01T05:21:08Z
@laneasilos4012,"This gives me nostalgic vibes. I love these kind of vids. The beautiful place the good editing, etc I remmber that time i was in boracay and the place was really beautiful. And this video....APPROVED.",14,2023-09-26T00:30:12Z
@calderonjacob9,This makes me want to start photography. That was so cool. I’ve never experienced that.,0,2024-11-01T16:47:04Z
@DeciLeggitt,These photos are fantastic 😊,71,2023-08-28T20:48:46Z
@Carolina-4JC,"Gorgeous work, great choice of models too!",7,2023-09-10T05:11:29Z
@harzz4n514,Ngl this song brought me a lot of memories,4,2023-08-30T18:09:58Z
@Zer0ne-Infinite,"YO WHAT, THATS SO COOL😭",0,2024-09-27T18:05:51Z
@mr.banan0,This song made me nostalgic for 2017-2018 :(,5,2024-01-06T10:34:43Z
@-xTokito_Muichirox-,You made me feel my childhood be back again with that song 😫🤧,4,2023-08-31T03:37:37Z
@d-kitty3705,&quot;We have photos at home&quot;<br>The photos at home:,53,2023-08-29T19:50:20Z
@JelenaCharles,Wow 😲😲😲😳😲😳😳😳😲😳😳😲😳😲😳😲😳😳😳😲😲😳😲😲😲,0,2024-10-14T23:07:07Z
@Its-zara-rblx,What my mom expects when she asks me to take her a photo:,6,2023-09-23T21:45:09Z
@EverClear0,This is super creative and very interesting to see the behind the scenes,43,2023-09-08T01:39:15Z
