Author,Comment,LikeCount,PublishedAt
@蕭丞廷-f9t,1，說不定只有作者一個人回不去,77,2022-10-25T13:00:28Z
@樱-v9z,但是我刚开始看就是凹进去的😂,84,2022-10-15T07:22:44Z
@phoebeng4871,扣1的点这<br>↓,1,2022-12-11T04:09:34Z
@翁幼蘭,1我還以為我看不到了😂😂😂🎉🎉🎉,32,2022-10-02T06:31:40Z
@我很Mam,1哈哈，我能看到都没什么变化😂😂😂😂😂,86,2022-10-02T00:50:58Z
@鄭盛仁-w9c,扣2的在<br>👇,2,2022-12-11T11:25:19Z
@리-r9k,1，你稍微動一下就看得到了,20,2022-08-25T02:31:35Z
@8e0,1 很清楚,13,2022-09-28T22:33:27Z
@小小蚵仔煎,1，我用眼睛重新對焦了一次,8,2022-11-05T08:37:41Z
@影-k6v,1（我能讓我看的到也能讓我看不到立體的）,14,2022-10-02T11:38:13Z
@神墨-v5o,3我想看1或2都可以,65,2022-09-06T12:28:05Z
@kitty.yvonneleochannel9642,一开时，就没有小方块的,2,2022-12-15T00:27:39Z
@suyuhuang4845,一的安讚！,20,2022-10-01T14:03:42Z
@yanLOVEyuqi,原来我是非正常人～<br>我还看得见,28,2022-08-19T15:07:47Z
@誰慫誰孫子,1還看的到啊,9,2022-11-27T09:52:16Z
@美親黃,1啦❤❤❤,20,2022-10-01T04:25:14Z
@tianlizheng5493,1我看到的很清楚,13,2022-09-20T23:01:26Z
@羊喵,想看到就能看到<br>不想看到就看不到<br>我沒差..你繼續,2,2022-10-27T20:44:33Z
@麥哥-s1k,我一開始看都是內凹的,24,2022-09-15T05:07:49Z
@mjlee3826,我一開始就看不到小方塊是發生什麼事,7,2022-09-10T13:17:39Z
@管宥任,我看了我的眼睛看到了,0,2022-12-10T09:58:24Z
@周麥克-c8h,1！我看得到欸！,10,2022-11-11T08:24:46Z
@likuchou,扣🤣🤣🤣11111111,13,2022-12-06T13:54:07Z
@jadonwkt6220,1影片一开始我就看到是凹进去的,1,2022-12-05T12:51:58Z
@陳依淋,扣二的占这<br>👇,7,2022-10-02T13:17:54Z
@jaylo2033,1哈哈，我能看到都没什么变化,4,2022-10-16T05:43:43Z
@陳曉宇-d7y,一眼看就是凹进去的，我反覆看了很久，才知道为什么有人看是立体的，但这立体很反直觉，因为每个立方体都压着前一个立方体，就像走不完的楼梯那幅画一样，难怪我一开始看不出来。。。,0,2022-11-22T09:02:32Z
@junenkoh9637,1這太簡單你的眼睛看為你剛剛看的四角,3,2022-10-20T14:46:51Z
@chaimk9121,1我看了方快,6,2022-09-10T04:39:35Z
@劉育如-q2o,你知道真相後你會看到凹進去的你調一下你看方塊的角度就會變正了 拉近的時候你會覺得他歐進去啦遠的時候你會覺得他是正方形,0,2022-10-23T14:11:03Z
@user-sm3hg4db,这也不是一样的吗<br>22222,5,2022-09-06T11:52:15Z
@Haruka_0414,1,23,2022-08-12T15:20:45Z
@jeiyuyang1314,2😭看不到啦~~😡,2,2022-12-15T03:16:09Z
@vile.5354,1 我还看得到,12,2022-09-08T23:04:56Z
@dailyhardware8748,一邊是正的一邊是凹的沒什麼 好錯覺,0,2022-12-14T09:13:11Z
@闪电狼-m1l,挡住左眼，用右眼看！挡住右眼用左眼看很好玩,0,2022-11-24T01:25:08Z
@siewhonghng9828,扣2点下面的赞,1,2022-12-09T02:52:11Z
@張育嘉寶貝,我已開始就看不回去了,0,2022-12-17T23:47:30Z
@jinghsu110,就是腦袋判別記憶<br>眨眼就可方便重新記憶,0,2022-10-25T19:08:54Z
@星江吴-o4q,看到了一瞬间,0,2022-12-17T07:55:04Z
@世豪李-s7b,这个东西我已经看过了，我已经看到了呀。,0,2022-10-30T11:16:22Z
@Hddhhrfhdhd,選1的👇,0,2022-12-04T04:13:38Z
@黃沛晨-n5n,我以為是由一個個正方形組成的，沒想到是黏在一起的😮,0,2022-10-20T14:29:18Z
@陳宗祐-l9u,其實並沒有 因為你 你拿的時候 他就已經這樣了啊 的時候就是只是幻覺而已,0,2022-12-10T06:53:13Z
@hsu612,1212我都有,1,2022-12-09T12:44:07Z
@edcedc742,1 我眨眼就看到小方块,0,2022-12-18T13:15:59Z
@小賴-r5e,一跟二都看得見,0,2022-12-12T11:54:16Z
@昆仑灵境,弟一个不是方块，弟二个就是方块,0,2022-10-23T09:22:40Z
@王語紹,一無子才是他,0,2022-10-29T08:31:00Z
@水晶-c4b,我第一眼看到的不是立体的。,0,2022-10-29T07:52:56Z
