Author,Comment,LikeCount,PublishedAt
@excessorizeme,"🛒 CLICKABLE LINKS IN BIO:<br>1. Lautie Shuffle - <a href=""https://bit.ly/3Xt7az5"">https://bit.ly/3Xt7az5</a><br>2. FidgetThings Chill Pill - <a href=""https://bit.ly/3pcMivP"">https://bit.ly/3pcMivP</a><br>3. ZY EDC - MT-01 - <a href=""http://bit.ly/3X3U89M"">http://bit.ly/3X3U89M</a><br>4. Tom EDC Mahjong Slider - <a href=""https://bit.ly/42VNQfa"">https://bit.ly/42VNQfa</a><br>5. TwoEDC Coracle - <a href=""https://bit.ly/3iYrndU"">https://bit.ly/3iYrndU</a>",2186,2022-08-10T17:26:37Z
@ohn9ne,Imagine having to work near this guy and just hearing click click click click click click click all fucking day.,11161,2022-08-17T11:19:23Z
@jackh8157,Can’t wait to get my scrote skin stuck in those,3297,2022-08-17T05:31:39Z
@RBUKFAN,“Without ever getting in trouble”<br>Me in class: <br><b>click clack click clack click clack click clack</b><br>Teacher:<br>😡 💥,3509,2022-08-21T10:50:14Z
@bearhug5292,When the pill is $180: 💀,3172,2022-08-27T11:00:21Z
@JailBad,I’m going to edit this comment so you don’t know why I got all these likes cx,24945,2022-08-11T00:40:39Z
@КБР007,5 ways to piss off your roommate.,341,2022-10-28T01:17:00Z
@kumarjoshi66,I went crazy just imagining my students doing this during my class,261,2022-08-20T19:57:49Z
@actuallyavailable,When the slide is 200$💀,272,2022-10-18T16:23:26Z
@cameronhughes-williams4480,“Cravings” who tf are you people,3667,2022-08-15T13:46:03Z
@m00nl1e9,me: <b>finds an object with 1 function</b><br><br>also me: <b>’pure fun’</b>,347,2022-08-20T21:23:05Z
@rgbgamingfridge,his wife: lets start using some toys in the bedroom<br>him: hell yeah,305,2022-08-23T20:36:31Z
@АлексейСтулёв-у8ж,Thanks man!🤝 I just was thinking where to spend my $260!,329,2023-03-14T03:55:18Z
@s.o.p.h.i.e3450,Him flicking them near skin<br>-intense heavy breathing*,582,2022-08-21T13:38:30Z
@mattakudesu,"Folding pocket knives are my fidget toys, and they are actually very useful.",659,2022-08-13T00:09:20Z
@Dread7404,When he said this pill I imagined<br><br>&quot;This pill started my drug addiction&quot;,370,2022-08-18T00:38:24Z
@anthonycrawford6988,“To satisfy all my cravings”💀💀💀,178,2022-10-02T16:12:55Z
@BravoSix_6,Now I know why aliens don&#39;t want to be friends with us,923,2022-08-22T12:11:42Z
@moth2120,"&quot;Oh the first one is neat, I&#39;ll just —&quot;<br><br>$70 on SALE, originally $160.<br><br>Oh. Nah. Nah nah nah.",1075,2022-08-22T04:01:25Z
@DimaEgorovRU,Autism is a powerful drug,8,2022-08-23T16:59:20Z
@senpaisproperty,&quot;Oh that first one looks neat! I wonder how much it- . . . Well of course I want to pay almost 1700$ for a fidget toy!&quot;,550,2022-08-27T21:36:58Z
@lucidays,“ how to annoy ppl around you” lol,336,2022-08-15T18:32:37Z
@PS3PCDJ,Video should be titled: &quot;How to make everyone in your vicinity hate you&quot;,62,2022-09-04T05:19:35Z
@bystander5278,Bro the prices on these things💀,32,2022-10-09T21:08:57Z
@navypanda2332,"Those fidgets are wayyy to expensive, $195 for a stainless steel slider is not a good deal",5,2022-08-26T01:35:14Z
@tjt_fan,"just remove a bit and “This is the one that started my addiction: this pill, you won’t wanna let go of it”",111,2022-08-21T04:29:58Z
@DaddyM7MD,"How much have you spent on this stuff? Since you started EDC videos, ive seen like atleast one unique fidget toy, and they were not cheap.",339,2022-08-10T17:42:07Z
@N-e-o1,"Damn, people be really addicted out here 😂",53,2022-08-22T06:40:38Z
@anuragghchettri,"&quot;Tiniest, yet most satisfying&quot;<br>That&#39;s what she said",36,2022-08-28T17:42:27Z
@brunneng38,“And this is the one that catches the most attention”.  <br><br>And there you have it.,105,2022-08-21T08:01:16Z
@danielcunha4377,Those Transitions Though 🥵,51,2022-08-23T00:44:22Z
@FlipFloch,That goddamn pill makes me feel the same things as when I played with those oblong magnet things.,117,2022-08-17T14:25:19Z
@cindersofcreation,I have a Celtic ring i bought from the Renaissance fair and after years of rubbing the folded inner circle of Celtic design that sits inside the steel ring it snapped off the weld point and rotates. So satisfying and no one ever notices.,7,2022-11-07T01:34:42Z
@Dr.silver_856,Man murders coworker. More on that at 9pm,6,2022-08-21T04:00:25Z
@alextaylor3815,We were so poor growing up we had to cut holes in our pants pockets so we had something to play with 🤣,64,2022-08-23T22:53:22Z
@callmevegito,"“Hmmm i wonder what this big red button does”<br>“NOOO, take this”<br>“oooooo”",80,2022-08-19T06:52:11Z
@kunya1256,him : “The Last One Is Very Satisfying…”<br><br>Pen clicking : “hold my beer.”,2,2022-10-03T14:04:05Z
@TheChrisHollingsworth,&quot;All my cravings&quot;????,46,2022-08-19T20:21:41Z
@bdawg5855,When you simply just need adhd medication…. Lol 😂,5,2022-08-19T13:38:26Z
@HyenaButter69,wow these are overpriced. Thank you Aliexpress.,21,2022-08-16T09:57:37Z
@Rusty_Rat_Huntsman,I want a fidget of an M1911 where u can just pull back the slide over and over again,1,2022-08-27T04:10:10Z
@justincllee99,"The Chinese word 發 are tiles of the mahjong set. It always result in big score or game. When playing it we use our thumb to feel the texture of the tile without look into it. So usually obtaining that tile usually means good thing. <br>So that fidget serve as the sensation of touching, which associate with good prosper and winning.",8,2022-08-24T05:49:59Z
@seanstropicalvlogs6663,“Started” no thank youuu,59,2022-08-18T13:46:28Z
@jessecallan8219,Satisfy your cravings? That’s weird dude. Have some self control.,5,2022-08-21T03:56:23Z
@epicstudio7185,When I walk my leg clicks the same way,1,2023-08-20T12:10:34Z
@ashqaz4574,I’ve never seen something so useless yet so appealing. I need those in my life.,52,2022-08-19T00:12:29Z
@manchild6164,&quot;Sounds like a slider when reloading&quot;<br>Quiet kid: <b>I&#39;m listening</b>,18,2022-08-23T12:37:11Z
@TheLovedUnbound,I feel like a child when I fidget with random things for no reason. And it really feels like I&#39;m the only one.,17,2022-08-21T12:51:17Z
@Johnnyrdk,bro that third one is so cool but its 200$ so thats a hell no,1,2022-10-21T05:48:49Z
@snifftheshark,These are so unnecessary and kinda go against the whole point of edc. Just get a nice bolt action pen so your &quot;fidget toy&quot; can be something that&#39;s actually useful.,7,2022-08-22T07:27:33Z
