Author,Comment,LikeCount,PublishedAt
,I like how he acknowledged the video after getting smashed by a tiktok video.,504,2024-11-18T19:21:43Z
@SageReyes0311,That’s what I call “dropping” a new video,309,2024-11-18T19:26:16Z
@benjaminisawkardlmfao,These are the kind of videos that I love to watch at 3 AM,96,2024-11-18T19:29:39Z
@sacredcowbbq1326,I&#39;m addicted. This was a great fix.,1,2025-02-07T05:55:44Z
@asadmirza5111,I think the dog is moved🤨🧐,1,2025-01-04T17:50:14Z
@blitzer2273,“How long have you been rewatching this?” “YES!”,13,2024-12-06T05:18:22Z
@Wicked_Awesome_Sports,Zach King the Man!,12,2024-11-18T19:54:00Z
@RahelRahel-w3s,A smooth transition <br>i like it,1,2024-12-22T16:45:46Z
@Zydareanspann,The loop was clean,2,2025-01-03T21:35:08Z
@2short2reachanything,The loop though 👌,11,2024-11-18T23:15:37Z
@davidhoffman6980,That loop is perfection.,70,2024-11-19T13:19:57Z
@Jeeve_Stobs,"When I log into YouTube, these are the only Shorts I want to see.",4,2024-11-23T01:11:45Z
@itzmehDevi,What a perfect video to watch and relax before my exam tomorrow lol,1,2024-11-26T13:40:57Z
@LiepaLiepaite,This video is so cute❤😊,1,2025-01-12T10:10:15Z
@chenjian3269,Perfect Loop 😂,8,2024-11-19T11:07:18Z
@SmKChess,Me waiting for the video to end 💀,1,2025-01-01T16:41:40Z
@Icer13,Almost thought it was going to flatten him 😅,4,2024-11-18T22:00:56Z
@user-rz4md3yr4i,😂😂This guy defies logic,6,2024-11-19T11:16:21Z
@RovioGuy,Loop shorts will never die.,4,2024-11-19T15:13:05Z
@SyedAhmed-c4x,Mr zach you just make the awesome videos 👏🏻👍🏻,4,2025-01-05T13:57:26Z
@AriesDZ,The video was <b><i>dropped</i></b> out of the <b><i>air!</i></b>,5,2024-11-19T00:55:43Z
@CM1_SonicAndOtherStuff,Bro took &quot;airDROP&quot; literally by causing him to drop his popcorn. 😂,8,2024-11-18T22:40:26Z
@abbyferre,"How wonderful was the sence in it, good editing and the loop.",0,2024-12-11T07:20:03Z
@JamaniTJohnson,Wow! That video is funny. 😆😆😆,6,2024-11-18T19:46:51Z
@elka19215,i guess he really did &quot;airDROP&quot; it to him.,3,2024-11-18T20:56:21Z
@Phatrikko,Are we going to talk about the size of that bowl of popcorn that was chillin on his lap?,5,2024-11-18T23:37:42Z
@Annagator-ze8oo,“You could’ve just walked over and showed me!” “Dude this is the 21st century people don’t ‘walk’ to each other.”,9,2024-11-19T00:40:00Z
@Jackson23292,👁️ what now I’m in phase 2,1,2025-01-01T16:01:15Z
@ItsPandagirl00,His tricks are super duper amazing 👏🏻 😳❤,1,2024-11-19T15:10:27Z
@1cherisse,Is no one talking about how there was popcorn on the floor in the beginning,1,2024-11-28T17:58:36Z
@AriAdventures16,Great Job Zack! Always coming up with new ideas,8,2024-11-18T19:47:22Z
@WannesMovies,hahaha so good in the begining you see a little bit popcorn after all the takes hahaha,0,2024-12-29T16:51:34Z
@mtr9031,😂😂😂😂😂😂😂❤❤❤❤❤❤❤ that dog is so cute. He’s so funny.,1,2025-02-16T21:38:12Z
@Channel-fd8ob,"Wow, that&#39;s awesome.😊",0,2024-11-19T06:50:10Z
@themorester1,Sweet Melin hat!!,0,2024-12-27T14:45:07Z
@Glebsaper97,Есть кто с России если что я с Тольятти🤝🙏✋ привет,1,2024-11-18T20:00:10Z
@FlickSeven,zachs idea of a funny video peaked in 2013,1,2024-12-05T00:00:32Z
@ChargyOSC,THE WAY I PRESSED THE LIKE BUTTON MATCHES IT,0,2024-12-29T08:35:32Z
@mallorysimon2669,1 looking at the phone<br>2 turns to simon<br>3 turn the ipad video to phone video,0,2024-12-21T00:38:40Z
@Creative19-03,Did Zach threw the big phone to his friend to take revenge as his friend was not giving him popcorn 😂?,1,2024-11-19T12:52:22Z
@Chessman101,Zach has done it again!,1,2024-11-19T19:28:26Z
@Fearlecia,I&#39;ve already seen it😭,0,2024-11-18T19:40:06Z
@rajucyclemechanic,"❤️🙏👇<br>इंसान कहता है कि पैसाहो<br>तोमैकुछ करकेदिखाऊ<br>औरपैसाकहताहैकितूकुछकरेंतो<br>मंतेरेपासआऊँ.<br><br>जीवन में सबसे बड़ी खुशी<br>उस काम को करने में है,<br>जिसे लोग कहते हैं कि आप<br>नहीं कर सकते।<br><br>Raju cycle mechanic 🙏 ❤<br><br><br>❤️🙏👇<br>A person says that if I have money<br>I can show you how to do something<br>And money says that if you do something<br>I can come close to the mantra.<br><br>The greatest happiness in life is in doing that work<br>Which people say you can&#39;t do.<br><br>Raju cycle mechanic 🙏 ❤",1,2024-11-22T23:54:33Z
@BasicallyAdam0,Bro kinda fell off ngl,1,2024-11-19T04:50:13Z
@Peroverse,Who watch this video more than one time👍🤣,0,2024-11-19T15:09:48Z
@Cloudyygirl-j4o,Always YouTube with the lagging <br>But the loop was perfect though,0,2024-12-22T20:20:45Z
@Sunsetbunny7890,Well he did send it to him I guess,0,2025-01-01T22:31:05Z
@Rori-o4v,Great loop,0,2024-12-12T14:08:03Z
@masonmceachernremadeversion,It never ends😮😮😮,0,2025-02-14T05:27:57Z
@eduarortiz8647,That looks so COOL 🤯,0,2024-11-18T19:50:57Z
