Author,Comment,LikeCount,PublishedAt
@keshavsen6922,Hello I am singer plz support for me 😊,2052,2024-08-10T04:51:13Z
@F1UNIVERSR-EDITZ,Cricket ❌<br>Rubik&#39;s cube guy ✅,3452,2024-07-30T11:50:35Z
@liberty9784,Awwwwww. He will NEVER forget that moment. It&#39;ll carry him far in life.,907,2024-08-04T13:23:08Z
@tejug1161,Love how amercians pay attention to talent wherever it is! 👍🏻 No wonder its so developed and rich!,468,2024-08-24T09:43:27Z
@DanielW-g9c,I love it when the masses support the small people out there,48,2024-09-22T18:23:05Z
@maitreybhatasana614,Vote for the face reveal of cameraman💖💖,1053,2024-07-17T19:06:25Z
@GautamMandal-yz4tz,Work go to the success🏆💪,117,2024-07-23T15:32:06Z
@Pavani-du6cu,Players on the ground would be like: for what they are up to and cheering???😂 nothing has happend here.🤣🤣🤣🤣🤣😁❤,342,2024-07-21T17:26:43Z
@Its_chirag_7,Bro glitched the whole stadium🪦🗿🗽👽,236,2024-08-09T01:53:04Z
@LeoxLegendOP,true focus 🗿,243,2023-08-07T15:59:59Z
@Black-q1o,It&#39;s like solving a math answer in exam hall that no one can solve 😂😂,42,2024-08-01T00:21:12Z
@rajachoudhary9417,Ticket price left chat,304,2023-08-07T10:22:52Z
@ManishasLahanepatil,boy❌ super boy ✅,16,2024-09-22T15:30:10Z
@Kohlivirat2007,99 missed calls from upcoming Harry potter season creators😂😂😂,6,2024-10-02T03:20:22Z
@RK_YT7,10000000000000000000+ aura,2,2024-10-15T16:58:53Z
@ourlifelinerailway7234,Practice at home be a master in home <br>And then perform wherever u want,2,2024-11-16T06:11:30Z
@electrofiyofficial,"Dude was so focused, that the crowd forgot about the game they were at",3,2024-09-22T06:13:48Z
@AbdulJaleel-ub9mz,This video is just awesome❤❤,36,2024-07-29T15:17:44Z
@nikolasorich9305,Bro really got +1000000 aura,2,2024-09-29T19:01:00Z
@FunnyReaction134,Focus on Cricket ❌<br>Focus on cube boy☑️💀,2,2024-09-25T19:49:30Z
@Amy_Rose2728Yas,Bro worked<br>Bro got the attention😏,2,2024-09-29T14:58:17Z
@7il_m9x,Focus on the game ❎️<br> Focus on the boy ✅️,5,2024-10-02T14:55:47Z
@PriyankaSingh-s3d6t,Scale ka scale ka baap 😈❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥😎😎👿👿,1,2024-10-18T02:29:33Z
@skbungalia7,People came for watch cricket live ❌ people came too watch rubic&#39;s cube guy live 🔴,11,2024-08-22T12:30:14Z
@KarthikaBandla,Amazing talent 👏🌟❤,15,2024-07-22T10:58:22Z
@onyiakingdavid9662,Power of Focus 💯😎,3,2024-09-18T22:28:25Z
@drkirtijadon3019,I have watched it more than 100 times,0,2024-10-01T10:22:40Z
@SchnitzelwithFries,They came for the game ❎️<br>They came for him ✅️,3,2024-09-26T15:46:13Z
@dipaksoni8490,Sab log video chal gaya tha isliye is taraf dekh rahe the lol😂😂😂😂❤❤,1,2024-10-23T07:34:32Z
@RFY12M2KT,Maybe i should go to more events because i know to solve a rubiks cube,13,2024-09-25T05:00:24Z
@JimmyRecard-ot9pg,The Brisbane Heat crowd is always so wild 😂😂😂,3,2024-09-15T21:36:29Z
@Friendshipworl,Child rocked audience shocked 😳😲,6,2024-08-06T09:00:17Z
@st_ay.2018,انا فرحت معهم 😭😭😭,3,2024-09-25T00:46:30Z
@maatlasethunya,Bro gave me goosebumps. He got aura ❤,0,2024-09-28T04:38:46Z
@tinu5280,Very True ❤️❤️,5,2024-07-24T19:03:43Z
@11CA137ELLORAAK,💯 VERA LEVEL FEEL 🦋,3,2024-08-12T12:34:58Z
@AbrefiOkaiLaryea,Infinite aura,4,2024-09-23T10:51:06Z
@murarisrivastava5551,Gajab focus  ha 😊😊😂😂,8,2024-08-02T11:53:08Z
