Author,Comment,LikeCount,PublishedAt
@V1k1ngblue94,Bro the touching alone though🤦‍♂️😂,998,2024-06-09T16:15:13Z
@juliesmead5503,"For one thing, you just don&#39;t sit on a plane , And pick the place you wanna set stupid but kind of funny😅",478,2024-06-07T20:01:12Z
@Sa11am,I am Zlatan Ibrahimovic 🗿,35,2024-10-27T16:49:36Z
@مالك-ل9د,upper body 90% <br>mom 10%,32,2024-07-08T14:32:32Z
@GIORGIOCHKHIKIDZE,Zlatan?!☠️,41,2024-08-29T09:54:45Z
@coltonbaldwin352,Don’t work like that. They are assigned seats…,11,2024-09-30T16:03:43Z
@Clube_de_Metro_YutongGNG,He looks like Zlatan Himbraimovic ! 😅,1,2024-12-07T12:51:10Z
@petewheelus2662,LOL....Three good-looking guys sitting together could be fun.,1,2024-12-30T09:40:44Z
@ZODIZODIPE,"as an introvert, cross out this life hack and search further",2,2024-10-02T15:05:14Z
@jackiewalsh9652,Not even close babe 😂😂😂😂,6,2024-06-04T13:54:55Z
@burakbaltac6967,İbrahim movic 👀💀,60,2024-08-28T14:21:10Z
@Mohamad_parsa128,Zlatan😂😂,0,2025-02-21T08:21:26Z
@walterstockhecker5579,You have assigned seats on a plane?,54,2024-06-06T13:47:17Z
@latinguy772,I thought he wanted to do something else with that jacket! My goodness I have a one track mind,0,2024-12-26T08:06:12Z
@waynedexter,You gotta love brain rot entertainment,0,2024-12-13T02:56:15Z
@yusileyssanchez2724,Bro he is to mad 🤬🤬,1,2024-12-05T15:20:27Z
@leonard7587,its zlatan ibrahimovic💀,0,2024-11-22T14:01:12Z
@WayneMorris-de6db,But it was good 😂😂😂😂😂😂😂,1,2024-11-08T02:42:17Z
@K3LL0GGG,Slapped 😅😅😂,0,2024-11-23T06:51:58Z
@lemon-hi3ib,Is this Zlatan?,0,2024-09-08T12:13:39Z
@陳淑玲-f1s,They went to see Kobe<br>xp😂😢,0,2024-08-27T13:40:28Z
@zeyadahmedmohy1758,Ibrahimovic?,0,2024-10-30T16:50:50Z
@endermite4684,"😂😂😂, Zlatan sit with you, it very cool!",4,2024-08-17T18:40:43Z
@abibiki6529,Yooo Ibrahimovic,0,2024-09-11T08:35:03Z
@rgavathia,Better with 2,0,2024-12-04T16:02:53Z
@TheMaxups,У них в самолетах трешь как у нас в маршрутках???,1,2024-09-30T04:36:15Z
@Daniele-e4i,❤❤❤❤❤❤❤❤,1,2024-12-13T18:39:48Z
@II-Ressam,Zlatan?,0,2024-09-08T12:38:54Z
@JanoDíazSoria,NO IBRAHIM MODRIC,0,2024-09-27T21:08:38Z
@paulbrothers4495,Not a real plane,1,2024-12-10T00:27:01Z
@Halilbrawl73,Uçakta telefon yasak,1,2024-09-19T06:12:12Z
@BayaBay-k5w,Similar to Ibrahim Mofic Jir😊,0,2024-10-26T16:28:46Z
@nephi5059,Fake.  The shades would be up. 😂,0,2024-12-10T16:04:12Z
@SanaFiyonal,are they don&#39;t have sit number?,0,2024-09-16T04:27:24Z
@smolbean1571,"hold on, zlatan?",1,2024-08-19T14:41:28Z
@Jdjejntdrwmvrvwlrtdmit,正論ぶちかまして気持ちよくなってるタテゥー彫ってる自称モテモテ実際嫌われ者系のやつやん🤣,0,2024-09-13T15:10:49Z
@HeartBroken-gd2lk,the fak man is so funnyy,0,2024-09-26T21:32:47Z
@teamredstudio7012,Cake 🧁,0,2024-09-11T18:20:36Z
@columbannon9134,Another video from this fake airplane 🙄,0,2024-12-14T18:47:38Z
@AMKLPS,الشرك قناة 😭😭😭,0,2024-09-10T16:41:50Z
@androidizada,Camera Man🫥,0,2024-09-03T16:15:09Z
@jamescarp,And the dude is made to look foolish! what on idiot!,0,2025-01-08T14:53:43Z
@JanoDíazSoria,ZLATAN,0,2024-09-27T21:07:48Z
@BastienRuffat,on dirait Mr savage,0,2024-08-19T23:30:35Z
@JamesHazen-k6g,🎉😢🎉😢wow 😢😮really 😢,0,2024-11-07T22:30:00Z
@languagetipsarabic753,Gottcha 😅,0,2024-11-15T18:59:16Z
@OanhDothiw,Vander,0,2024-12-21T15:27:40Z
@ЮрийРузанов-ь5о,Приставляю картину если он место для здорового отца место занимал заходит огромный мужик его отец и садиться на него с верху 😂😂😂,0,2024-10-06T01:22:06Z
@El_Evel_bro,Cual es la semilla ?,0,2024-08-24T08:01:06Z
@izzetpro6444,🟨🍑😂,0,2024-12-07T20:39:30Z
