Author,Comment,LikeCount,PublishedAt
@皮卡丘-y6e,上一秒鸚鵡:主人你雜了？<br>下一秒鸚鵡:放我走我不要洗鹽水澡😂😂,324,2024-10-19T00:20:52Z
@Jodylove,好可愛的毛巾鸚鵡哦😂❤,266,2024-10-16T16:09:47Z
@anguslau4732,鸚鵡：有病呀，我不是毛巾<br>下1秒：我不乾淨了,118,2024-10-18T09:31:16Z
@HZC0321,好漂亮的女生❤😂,29,2024-10-19T06:03:28Z
@fish-rice,倉鼠梗圖變化版😂😂😂鸚鵡！,13,2024-10-22T11:54:50Z
@方詩瑩,小鳥:<br>住手!我不乾淨了 T_T,27,2024-10-17T18:15:58Z
@林宥富-d3o,醫生：這就是你長針眼的原因！,138,2024-10-16T23:06:10Z
@楊明智,鸚鵡表示：你有禮貌嗎,20,2024-10-16T22:15:08Z
@羅1-x9g,哭的这么好看我会天天让她哭😂,3,2024-10-18T08:25:07Z
@本呆呆,鸚鵡:我不乾淨了...<br>觀眾:把眼淚還給我!!,0,2024-11-18T10:52:31Z
@吉窄,主人：借我用一下<br>鸚鵡：我不乾淨了😮😮,0,2024-10-21T11:50:26Z
@阮卓俊-x2x,鸚鵡：我髒了，羽毛都是鹹的，要洗澡了,0,2024-10-21T04:01:50Z
@thetazetaphi,她哭了 我笑了,0,2024-11-01T02:34:08Z
@C.A.X.369,小心針眼😂😅😢😮😊❤🎉,9,2024-10-17T11:27:46Z
@可愛的柚星,笑哭了🤣🤣🤣,1,2024-10-20T09:46:43Z
@att880953,女生：很努力憋笑了,0,2024-10-26T15:27:17Z
@loxius77,鸚鵡：還是快跑吧…怕哪天這女人沒紙了……,9,2024-10-16T21:59:14Z
@chenwhyeming8296,鹦鹉 ： 原来这是养我的原因。😂😂😂,1,2024-10-19T04:47:23Z
@testament-tc1su,鸚鵡：我去你⋯⋯⋯,2,2024-10-18T23:40:20Z
@謝志文-m7b,你不怕他啄你眼睛嗎😂😂,0,2024-10-20T10:33:46Z
@Sigma0743,鸚鵡終究承受了一切,0,2024-11-13T15:42:11Z
@tsuhuiyu,怎麼覺得這鸚鵡知道搶鏡頭😮,1,2024-10-19T01:00:37Z
@akwong7818,鸚鵡：「我發誓，我永遠不會接近洗手間」,0,2024-10-29T04:12:17Z
@反共就要反到底,美女，為何流淚？妳如此美麗，適合笑，別哭～😢,49,2024-10-17T09:47:05Z
@black1027,鸚鵡:我雖然是鸚鵡，但妳是真狗😑,0,2024-10-20T10:48:23Z
@冠廷陳-f9p,眼鏡拔掉瞬間被你電到😊,4,2024-10-16T18:08:56Z
@王家秝-i3b,擦就擦了別把我擰乾了😢😮😅⋯⋯,1,2024-10-18T23:05:55Z
@LoveMovado,醫生：妳再說一次妳結膜炎怎麼來的,0,2024-10-26T05:58:11Z
@鄭智豪-f5h,😂😂優秀,0,2024-10-20T05:57:20Z
@陳宣秀,櫻五：<br>主手我不干淨了,0,2024-10-20T04:37:06Z
@AU-pd5dv,沒對動物毛過敏才能這樣弄，但不建議啦，有的動物會嚇到、不衛生<br>我要是這樣擦眼睛會直接腫成豬頭送醫院😂,14,2024-10-16T12:42:24Z
@hung65431,鼻水還有擦,12,2024-10-16T01:54:09Z
@陳玟瑾-w8h,不建議這樣做，鳥身上有的有鳥蟎蟲😮😮,16,2024-10-16T21:40:11Z
@yeea_123,鹦鹉：你做个人吧，拿鹦鹉擦眼泪,3,2024-10-18T13:13:30Z
@chingng1409,深井冰！,1,2024-10-19T04:21:42Z
@顏菲兒,主人很美❤😂,0,2024-10-21T07:11:41Z
@raycheung4807,當男生不能分享你的笑與淚，鸚鵡可以,1,2024-10-18T05:54:30Z
@張凱凱-n2u,哭了假裝哭拿尿尿擦臉好噁心喔，太搞笑了😂😂😂😂😂😂😂,1,2024-10-20T01:39:05Z
@zxc4025881,養鳥千日  用在一時,1,2024-10-17T12:00:20Z
@cheeshengkam6588,好美,1,2024-10-18T03:45:30Z
@王導-w7r,妹妹不哭喔！😊,1,2024-10-18T11:06:28Z
@wind19250,这妹子真的好看❤,2,2024-10-18T17:19:40Z
@lemars2914,不怕感染😊,1,2024-10-18T16:04:26Z
@top1-house168,還好不是上廁所🚽,0,2024-10-28T15:26:18Z
@亞倫-p6c,上一秒:主人你怎麼哭了!!<br>下一秒:哇操  你不要過來啊~~~~,0,2024-11-16T03:02:12Z
@邪惡獸,如果換狗狗的話<br>上一秒：主人你怎麼了😢<br><br>下一秒：主人你怎麼哭了<br>我為啥打的意思一樣呢？<br>那是因為小狗可以感受到人類的情緒 所以你們快樂點 不要因為小事而哭泣了😊,14,2024-10-20T16:28:40Z
@樹的回憶,鳥是無辜的啊😂😂😂,1,2024-10-16T21:14:43Z
@王升茂,我笑了,1,2024-10-18T15:15:12Z
@王韻甯-q9o,快樂鳥擦了立刻笑😂😅😊🎉❤,1,2024-10-18T15:14:13Z
@worldtraveler3558,苦中作乐😂😂😂<br>爱你哦❤❤❤❤❤❤,1,2024-10-18T03:05:10Z
