Author,Comment,LikeCount,PublishedAt
@LanaBananaSlays,Everyone gangsta until he drops the pencil accidentally💀😭,841,2024-09-22T06:31:55Z
@user-tb1cd4zn1m,"Милая девушка, такие нежные и милые эмоции🤗😘",99,2024-09-23T06:56:45Z
@Bananbos,Какая красивая девушка) и так искреннее все время удивляется,80,2024-09-21T23:03:39Z
@YamilVelarde-r5i,Me gusta mucho tú truco❤❤❤😊,4,2024-10-11T01:28:22Z
@raulosvaldorodini1955,She Is very Hermosaaaa‼️💓💓💓💖💖💖💖💖😘😍,48,2024-09-18T18:01:37Z
@НикЖемконский,Хорошая у тебя девушка😊. Береги её😊,13,2024-09-24T07:35:04Z
@KiranBilal-o4d,She is so pretty 😍😍 i love her,21,2024-09-20T15:48:17Z
@НаильХайрутдинов-э2ъ,Красива у тебя жена и ты красава добра вам 🤩🤩🤩,2,2024-10-30T12:29:00Z
@Sergey-vs5mw,Когда Бог раздавал  ум...Эта Девушка стояла в очереди за красотой ...,141,2024-10-12T10:12:07Z
@gulam.abbasov2015,БРАВО ❤️❤️❤️❤️привосходно,0,2024-11-08T21:37:02Z
@phiraylosciste3452,The girl is gorgeous ! 😸👍<br>And what about the magician ?<br>What magician ? 😸,4,2024-09-23T11:35:16Z
@АлексейСкороход-о3о,Девочка супер красивая😍💓😍💓😍💓,14,2024-09-22T11:39:15Z
@mariyanasanturova,Congrats u found 2 English comments ●~●,138,2024-09-24T02:02:26Z
@ЕвгенийСидоренко-ч2б,Девчушка симпотичная. 👍😂,6,2024-10-05T21:58:51Z
@АлиШер-ы9х,Классные у тебя контенты 👍,1,2024-10-25T12:47:44Z
@alchemicalvisionstudios3969,Tricks to do for the grandkids when they come over on Thanksgiving,1,2024-10-25T12:51:52Z
@ТатьянаМатанцева-д7ч,Я карандаш сломала на работе 🤦‍♀️🙈🙈🙈🤣🤣🤣🤣🤣🤣,1,2024-10-21T08:16:19Z
@TanupriyaHazra-uv8ln,Wow! so amazing!!!!!!🎉🎉🎉❤❤❤❤,0,2024-09-23T11:25:39Z
@mathieuraedemaeker2201,The guy can&#39;t break the pencil...he need a Chuck Norris lesson.,2,2024-10-30T00:06:29Z
@Bondshorts1978,Многие из-за нее только и смотрят  ролики... Из-за ее нежной улыбки и блеска глаз,74,2024-09-23T04:43:41Z
@sergeyscherbakov1541,"Девчонка просто ангел, красивая и очень нежная❤",8,2024-09-29T22:29:22Z
@Poulberk,"Самая красивая девушка на свете, тебе очень првезло, бро",1,2024-10-27T07:03:17Z
@KHallesy,"I’ve been doing that trick till I was about since I was about 10 years old so 53 years. I’m not a magician, but my dad taught me that one. You can do it with pencils chopsticks spoons all kinds of crazy things.",2,2024-11-02T06:25:32Z
@saraximenacubideschaves8768,Se llama Zoé o Sofía por que ella aparece e los videos de Lara campos,1,2024-10-05T17:24:24Z
@larou14,Excellent magic trick! 🎩🎪🎉,7,2024-10-18T22:25:04Z
@Раш.Нас,Попробывал фокус. С пятого раза получилось. Надо тренироваться.,20,2024-10-09T05:49:37Z
@Dan-hx9og,That’s incredible for a friggin third grader,1,2024-10-09T06:41:47Z
@roseannclaudio524,PILIPINAS gitna pa sya 🇵🇭💪🏻🇵🇭💪🏻🇵🇭💪🏻🇵🇭💪🏻❤️❤️❤️🎉🎉🎉,1,2024-10-31T10:31:38Z
@뉴인소프트와이드펜,연습 많이 해야 가능한 손기술~^^;<br>😂🎉🎉🎉,1,2024-09-29T03:00:08Z
@HeyYorch,Esa mujer es TAN HERMOSA 😍,1,2024-10-14T04:08:05Z
@KeithFowler-m8h,Your smart  and she gorgeous ❤😂😂😂😂,4,2024-09-23T20:31:32Z
@Sasha_Rose2011,"Ага, а потом карандаш сам тебе устроит фокус с падением и обиженной девушки :3",1,2024-11-16T11:45:52Z
@ВалераПанькин-с7м,Классная девушка беги от обманщика😊,0,2024-10-24T10:53:14Z
@fernandoprada3506,"si ella sigue saliendo en lls vídeos, no se le presta mucha atencion al truco , asi sera de bella...",1,2024-09-24T03:08:07Z
@ИисусХристос-р8м,Постоянно смотрю её удивление  этой прекрасной девушки как Заворажиаоещее Лицо,79,2024-09-19T13:43:11Z
@tauskhan6850,Very interesting track,2,2024-10-04T16:34:37Z
@antonnurazis3360,Why is it that every performance is always in front of women?,1,2024-10-20T07:49:24Z
@hastiahmadi5759,Thanks ❤❤❤❤❤❤❤❤,1,2024-09-25T12:48:04Z
@ashaghosh3778,That’s easy I can do more than that😁😁😁,0,2024-11-02T02:20:22Z
@keto188,"Ну наконец то , а то я до сих пор никак не мог понять , в чем же смысл жизни ?",1,2024-10-27T14:59:36Z
@Mayra-lk7jc,Congrats you found 3 english comments,1,2024-09-24T11:54:34Z
@dh5175,She was really excited to see that pencil,2,2025-01-27T22:10:19Z
@ElizaOlkowska-t4t,Pierwszorzędne !!! <br>🤗👏👏👏👍,3,2024-09-22T11:34:27Z
@Oksana699-77,Попыталась сделать фокус... <br>Сломала карандаш😅,1,2024-10-21T06:50:31Z
@etc-tv,People ended OK Naman phone with that for you with a puppy for you,1,2024-11-20T08:04:26Z
@FatihahAz-zahraa,You can do this❤❤❤❤❤,1,2024-10-06T00:47:37Z
@Bruno-vz1br,Mds fui fazer aq em casa e quebrei minha caneta kkkkkkk🥺,1,2024-10-27T12:26:03Z
@dhomarkvidallon7692,can you do a trick that you never do,1,2024-10-12T04:44:20Z
@has313san1,This is my beautiful girl ❤,0,2024-09-23T07:53:26Z
@АлексейКовин-с8р,Красивая 😍,0,2024-10-19T20:24:21Z
