Author,Comment,LikeCount,PublishedAt
@jordikoalitic,PHOTOS AT HOME 🏡📸 RATE from 1-10 👇🏼<br>.<br>FOLLOW &amp; SHARE to support us 👌🏼,6270,2023-08-09T11:55:08Z
@JiNArena,That one friend with camera skills we all need in our life,56206,2023-08-23T15:47:53Z
@KingDom.mp3,"The fact you even showed what settings you used just adds to how impressive it is, love it!",3164,2023-09-08T03:35:51Z
@SpiltMyBrain999,I can’t lie it feels good and nostalgic watching people put old songs like this for their shorts. It’s good to here the classics again.,3598,2023-09-03T15:42:14Z
@ItzBunnehC,That one friend that has massive camera skills that everyone needs:,63,2023-12-10T19:47:30Z
@Zeebullet,This is incredible 😮,8892,2023-08-09T11:58:50Z
@LOLrpop,THESE ARE WORKS OF ART-,3998,2023-09-05T22:07:05Z
@ЕленаНикифорова-я2ь,Обожаю смотреть ваши работы👍😊,0,2024-03-06T13:43:41Z
@BlandoGaming,Photographers who enjoy what they do are amazing.,879,2023-09-18T15:06:42Z
@raptor15757,The second one is absolutely stunning could be an ad for sure,1322,2023-08-27T00:13:17Z
@RomarioVarkey,This song brings back memories,22,2023-09-20T01:30:26Z
@darlenegonzalez566,Esta cool :0❤,2,2023-12-25T00:32:52Z
@blackman2227,This song still 🔥🔥🔥🔥 after all these years,314,2023-09-08T02:13:02Z
@Fanaticalight,"Something about this short is just heavenly! The compositions, the song, techniques",1581,2023-09-07T12:09:31Z
@wakanda2536,Talk about sheer talent &amp; incredible creativity 📷🔥💯!,153,2023-08-30T17:27:06Z
@KatyAbbott-m1d,Love it 10-10,1,2023-10-01T13:01:11Z
@deeclark9880,You don&#39;t take photos. You transform reality. Love it!,174,2023-09-12T01:10:23Z
@Tianna-v2o,Damn I need tutoring lessons from this guy.😎😎😎,1886,2023-08-12T01:56:03Z
@Evawennn,Cameraman never disappoint,317,2023-09-04T09:46:56Z
@ВаляЕделькина-я3я,"Обожаю людей которые это делают, это очень курто выглядит, но главное всё это придумать, мега мозг 👍👍👍",0,2024-03-28T16:09:31Z
@YouTube,i am def trying this at home 📸,45,2023-08-27T13:31:24Z
@wrayth21,Photographer needs an Oscar fr,1287,2023-09-01T19:33:06Z
@SamuelFaict.Filmmaker,I really enjoy the dynamism in each frame.,537,2023-08-25T00:50:06Z
@sternschnupper,"really gorgeous, how clever thinking gets epic results without any fancy setup or gear or whatever, just simple things like throwing two halves of an orange at a knife!",1,2023-11-20T22:03:49Z
@vj3523,THIS IS FREAKING AWESOME MANNN!! WHAT A TALENTED AND SKILLFUL PERSON YOU ARE!!,514,2023-09-07T15:12:57Z
@FlowerChyld43,That is such talent.  I had no idea that&#39;s how those were made.  I love seeing behind the scenes!  : D,623,2023-08-29T23:49:35Z
@martinstads7471,Another level of photography  satisfying a wholesome level 🔥🔥,19,2023-09-12T17:50:19Z
@octaviasworld3414,So cool 😎,0,2025-01-07T18:51:25Z
@Ahmed.Adam.Life.Offical,&quot;singing in the shower&quot; 😂 got me,188,2023-09-08T17:46:40Z
@DeciLeggitt,These photos are fantastic 😊,71,2023-08-28T20:48:46Z
@CallMehStar69,my dumbass thought they were tryna sharpen the knife with oranges 💀💀,37,2023-08-28T01:13:10Z
@thegentlegibbon,"Cool shots looks like the 90s aesthetic, old school",19,2024-09-12T16:22:23Z
@louskunt2641,This is just like my family smiling in our annual Christmas photo,144,2023-09-03T04:39:01Z
@EverClear0,This is super creative and very interesting to see the behind the scenes,43,2023-09-08T01:39:15Z
@nix0849,アイデアとテクニックの塊だね！ 素晴らしい！,44,2023-09-01T05:21:08Z
@mr.banan0,This song made me nostalgic for 2017-2018 :(,5,2024-01-06T10:34:43Z
@natapp8733,"EL RESULTADO ES FASCINANTE!!!<br>Y LAS ACCIONES DETRAS, SON TAN CREATIVAS!  FELICIDADES!!!",4,2024-07-05T17:10:23Z
@d-kitty3705,&quot;We have photos at home&quot;<br>The photos at home:,53,2023-08-29T19:50:20Z
@antoniosoto482,I hadn’t heard that song in years thanks for bringing up the memories,52,2023-09-06T22:33:51Z
@MaliyahBrockel-gb2kl,Omg I remember seeing this when I was little and loving this vid 💜💜💜,0,2024-09-09T20:35:22Z
@すてい-h1q,完成した写真を見せてくれるの嬉しい,5,2023-08-29T01:57:53Z
@alicesmith4185,this tips are amazing!!,73,2023-08-09T16:19:51Z
@laneasilos4012,"This gives me nostalgic vibes. I love these kind of vids. The beautiful place the good editing, etc I remmber that time i was in boracay and the place was really beautiful. And this video....APPROVED.",14,2023-09-26T00:30:12Z
@Scout-gamingTF2,Bro took a picture of the speed of light💀💀,1,2024-01-06T02:53:51Z
@TheRealMisterMeows,"<b>That one photographer friend we need in our life.</b> 💀✋🏼<br><b>Smh, children nowadays.</b> 💀",547,2023-08-31T15:48:09Z
@harzz4n514,Ngl this song brought me a lot of memories,4,2023-08-30T18:09:58Z
@Carolina-4JC,"Gorgeous work, great choice of models too!",7,2023-09-10T05:11:29Z
@HajiZackaria-oo7nk,"Good picture,s",0,2024-11-24T04:58:50Z
@mickybloo6407,People need more in their lives.,35,2023-09-02T10:12:16Z
@soneriftar,beyond composition! beyond awesome! you are gorgeous in this job!,45,2023-09-02T14:31:06Z
